"papp","at"
"942.6923076923077","2024-02-13 16:31:00+00"
"965.0769230769231","2024-02-13 16:32:00+00"
"945.6923076923077","2024-02-13 16:33:00+00"
"946.7692307692307","2024-02-13 16:34:00+00"
"944.2307692307693","2024-02-13 16:35:00+00"
"944.925925925926","2024-02-13 16:36:00+00"
"948.8461538461538","2024-02-13 16:37:00+00"
"930.7307692307693","2024-02-13 16:38:00+00"
"934.8076923076923","2024-02-13 16:39:00+00"
"925.3846153846154","2024-02-13 16:40:00+00"
"892.36","2024-02-13 16:41:00+00"
"934.3846153846154","2024-02-13 16:42:00+00"
"923.2307692307693","2024-02-13 16:43:00+00"
"933.0769230769231","2024-02-13 16:44:00+00"
"934.9230769230769","2024-02-13 16:45:00+00"
"926.6923076923077","2024-02-13 16:46:00+00"
"934.3076923076923","2024-02-13 16:47:00+00"
"929.4615384615385","2024-02-13 16:48:00+00"
"927.1538461538462","2024-02-13 16:49:00+00"
"920.5384615384615","2024-02-13 16:50:00+00"
"946.7692307692307","2024-02-13 16:51:00+00"
"925","2024-02-13 16:52:00+00"
"935.0370370370371","2024-02-13 16:53:00+00"
"936.9615384615385","2024-02-13 16:54:00+00"
"929.3076923076923","2024-02-13 16:55:00+00"
"928.0384615384615","2024-02-13 16:56:00+00"
"942.4230769230769","2024-02-13 16:57:00+00"
"920.8846153846154","2024-02-13 16:58:00+00"
"926.7307692307693","2024-02-13 16:59:00+00"
"932.7692307692307","2024-02-13 17:00:00+00"
"932.0769230769231","2024-02-13 17:01:00+00"
"918.5384615384615","2024-02-13 17:02:00+00"
"963.1923076923077","2024-02-13 17:03:00+00"
"935.1923076923077","2024-02-13 17:04:00+00"
"926.3076923076923","2024-02-13 17:05:00+00"
"904.8461538461538","2024-02-13 17:06:00+00"
"933.8076923076923","2024-02-13 17:07:00+00"
"933.0769230769231","2024-02-13 17:08:00+00"
"923.4","2024-02-13 17:09:00+00"
"933.1538461538462","2024-02-13 17:10:00+00"
"942.3076923076923","2024-02-13 17:11:00+00"
"946.7037037037037","2024-02-13 17:12:00+00"
"946.0384615384615","2024-02-13 17:13:00+00"
"958.5","2024-02-13 17:14:00+00"
"946.5","2024-02-13 17:15:00+00"
"952.7307692307693","2024-02-13 17:16:00+00"
"962.6153846153846","2024-02-13 17:17:00+00"
"954.3461538461538","2024-02-13 17:18:00+00"
